Dataset,Epoch Duration,Model,Performance
Inner Layer (128),0.05,RandomForest,0.76
Inner Layer (128),0.1,RandomForest,0.82
Inner Layer (128),0.1,SVM,0.83
Inner Layer (128),0.1,Logistic Regression,0.84
Inner Layer (128),0.05,RNN-LSTM,0.61
Inner Layer (78),0.05,RandomForest,0.45
Inner Layer (78),0.1,RandomForest,0.53
Inner Layer (78),0.1,SVM,0.59
Inner Layer (78),0.1,Logistic Regression,0.6
Inner Layer (78),0.05,RNN-LSTM,0.40
Artifact Layer (128),0.05,RandomForest,0.91
Artifact Layer (128),0.1,RandomForest,0.93
Artifact Layer (128),0.1,SVM,0.89
Artifact Layer (128),0.1,Logistic Regression,0.91
Artifact Layer (78),0.05,RandomForest,0.91
Artifact Layer (78),0.1,RandomForest,0.93
Artifact Layer (78),0.1,SVM,0.86
Artifact Layer (78),0.1,Logistic Regression,0.92
Artifact Layer (78),0.05,RNN-LSTM,0.91
ICA (Source signals)(78) ,0.05,RandomForest,0.55
